Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Fingerprinting Web Users Through Font Metrics","Financial Cryptography and Data Security","","","","10.1007/978-3-662-47854-7_7","David FifieldSerge Egelman","2015","http://link.springer.com/chapter/10.1007/978-3-662-47854-7_7","Chapter"
"FPRandom: Randomizing Core Browser Objects to Break Advanced Device Fingerprinting Techniques","Engineering Secure Software and Systems","","","","10.1007/978-3-319-62105-0_7","Pierre LaperdrixBenoit BaudryVikas Mishra","2017","http://link.springer.com/chapter/10.1007/978-3-319-62105-0_7","Chapter"
"Reducing User Tracking through Automatic Web Site State Isolations","Information Security","","","","10.1007/978-3-319-13257-0_18","Martin StopczynskiMichael Zugelder","2014","http://link.springer.com/chapter/10.1007/978-3-319-13257-0_18","Chapter"
"Towards the Design of a Covert Channel by Using Web Tracking Technologies","Dependability in Sensor, Cloud, and Big Data Systems and Applications","","","","10.1007/978-981-15-1304-6_19","Aniello CastiglioneMichele NappiChiara Pero","2019","http://link.springer.com/chapter/10.1007/978-981-15-1304-6_19","Chapter"
"TrackAdvisor: Taking Back Browsing Privacy from Third-Party Trackers","Passive and Active Measurement","","","","10.1007/978-3-319-15509-8_21","Tai-Ching LiHuy HangMichalis FaloutsosPetros Efstathopoulos","2015","http://link.springer.com/chapter/10.1007/978-3-319-15509-8_21","Chapter"
"Towards a Privacy Web Scanner for End-Users","Security in Computing and Communications","","","","10.1007/978-981-15-4825-3_14","Myriam Massardier-MecaAntonio Ruiz-Martínez","2020","http://link.springer.com/chapter/10.1007/978-981-15-4825-3_14","Chapter"
"Smearing Fingerprints: Changing the Game of Web Tracking and Differential Privacy (Transcript of Discussion)","Security Protocols XXIII","","","","10.1007/978-3-319-26096-9_20","Sandy Clark","2015","http://link.springer.com/chapter/10.1007/978-3-319-26096-9_20","Chapter"
"On Privacy Risks of Public WiFi Captive Portals","Data Privacy Management, Cryptocurrencies and Blockchain Technology","","","","10.1007/978-3-030-31500-9_6","Suzan AliTousif OsmanMohammad MannanAmr Youssef","2019","http://link.springer.com/chapter/10.1007/978-3-030-31500-9_6","Chapter"
"Quantifying Web Adblocker Privacy","Computer Security – ESORICS 2017","","","","10.1007/978-3-319-66399-9_2","Arthur GervaisAlexandros FiliosVincent LendersSrdjan Capkun","2017","http://link.springer.com/chapter/10.1007/978-3-319-66399-9_2","Chapter"
"Banksafe Information Stealer Detection Inside the Web Browser","Recent Advances in Intrusion Detection","","","","10.1007/978-3-642-23644-0_14","Armin BuescherFelix LederThomas Siebert","2011","http://link.springer.com/chapter/10.1007/978-3-642-23644-0_14","Chapter"
"Like a Pack of Wolves: Community Structure of Web Trackers","Passive and Active Measurement","","","","10.1007/978-3-319-30505-9_4","Vasiliki KalavriJeremy BlackburnMatteo VarvelloKonstantina Papagiannaki","2016","http://link.springer.com/chapter/10.1007/978-3-319-30505-9_4","Chapter"
"Detecting Web Tracking at the Network Layer","ICT Systems Security and Privacy Protection","","","","10.1007/978-3-031-56326-3_10","Maximilian WittigDoğan Kesdoğan","2024","http://link.springer.com/chapter/10.1007/978-3-031-56326-3_10","Chapter"
"The Evolution of Third-Party Web Tracking","Information Systems Security and Privacy","","","","10.1007/978-3-319-54433-5_8","Tim WambachKatharina Bräunlich","2017","http://link.springer.com/chapter/10.1007/978-3-319-54433-5_8","Chapter"
"Towards Real-Time Web Tracking Detection with T.EX - The Transparency EXtension","Privacy Technologies and Policy","","","","10.1007/978-3-030-21752-5_1","Philip RaschkeSebastian ZickauJacob Leon KrögerAxel Küpper","2019","http://link.springer.com/chapter/10.1007/978-3-030-21752-5_1","Chapter"
"Towards Understanding Privacy Implications of Adware and Potentially Unwanted Programs","Computer Security","","","","10.1007/978-3-319-99073-6_22","Tobias UrbanDennis TatangThorsten HolzNorbert Pohlmann","2018","http://link.springer.com/chapter/10.1007/978-3-319-99073-6_22","Chapter"
"Control What You Include!","Engineering Secure Software and Systems","","","","10.1007/978-3-319-62105-0_8","Dolière Francis SoméNataliia BielovaTamara Rezk","2017","http://link.springer.com/chapter/10.1007/978-3-319-62105-0_8","Chapter"
"You Shall Not Register! Detecting Privacy Leaks Across Registration Forms","Computer Security","","","","10.1007/978-3-030-42051-2_7","Manolis ChatzimpyrrosKonstantinos SolomosSotiris Ioannidis","2020","http://link.springer.com/chapter/10.1007/978-3-030-42051-2_7","Chapter"
"Investigating Fingerprinters and Fingerprinting-Alike Behaviour of Android Applications","Computer Security","","","","10.1007/978-3-319-98989-1_4","Christof Ferreira TorresHugo Jonker","2018","http://link.springer.com/chapter/10.1007/978-3-319-98989-1_4","Chapter"
"Transparency in Open Government Data Portals: An Assessment of Web Tracking Practices Across Europe","Electronic Participation","","","","10.1007/978-3-031-70804-6_14","Stefan StepanovicLeonardo MoriAlizée FranceyTobias Mettler","2024","http://link.springer.com/chapter/10.1007/978-3-031-70804-6_14","Chapter"
"Did I Agree to This? Silent Tracking Through Beacons","HCI for Cybersecurity, Privacy and Trust","","","","10.1007/978-3-030-50309-3_28","Edden KashiAngeliki Zavou","2020","http://link.springer.com/chapter/10.1007/978-3-030-50309-3_28","Chapter"
"Measuring Cookies and Web Privacy in a Post-GDPR World","Passive and Active Measurement","","","","10.1007/978-3-030-15986-3_17","Adrian DabrowskiGeorg MerzdovnikJohanna UllrichGerald SenderaEdgar Weippl","2019","http://link.springer.com/chapter/10.1007/978-3-030-15986-3_17","Chapter"
"Privacy Promise Vs. Tracking Reality in Pay-or-Tracking Walls","Privacy Technologies and Policy","","","","10.1007/978-3-031-68024-3_9","Timo Müller-Tribbensee","2024","http://link.springer.com/chapter/10.1007/978-3-031-68024-3_9","Chapter"
"Tracking Personal Identifiers Across the Web","Passive and Active Measurement","","","","10.1007/978-3-319-30505-9_3","Marjan FalahrastegarHamed HaddadiSteve UhligRichard Mortier","2016","http://link.springer.com/chapter/10.1007/978-3-319-30505-9_3","Chapter"
"The Online Tracking Horde: A View from Passive Measurements","Traffic Monitoring and Analysis","","","","10.1007/978-3-319-17172-2_8","Hassan MetwalleyStefano TraversoMarco MelliaStanislav MiskovicMario Baldi","2015","http://link.springer.com/chapter/10.1007/978-3-319-17172-2_8","Chapter"
"Exploring the Cookieverse: A Multi-Perspective Analysis of Web Cookies","Passive and Active Measurement","","","","10.1007/978-3-031-28486-1_26","Ali RasaiiShivani SinghDevashish GosainOliver Gasser","2023","http://link.springer.com/chapter/10.1007/978-3-031-28486-1_26","Chapter"
"PExy: The Other Side of Exploit Kits","Detection of Intrusions and Malware, and Vulnerability Assessment","","","","10.1007/978-3-319-08509-8_8","Giancarlo De MaioAlexandros KapravelosYan ShoshitaishviliChristopher KruegelGiovanni Vigna","2014","http://link.springer.com/chapter/10.1007/978-3-319-08509-8_8","Chapter"
"Context-Aware IPv6 Address Hopping","Information and Communications Security","","","","10.1007/978-3-030-41579-2_31","Matthias MarxMonina SchwarzMaximilian BlochbergerFrederik WilleHannes Federrath","2020","http://link.springer.com/chapter/10.1007/978-3-030-41579-2_31","Chapter"
"Minemu: The World’s Fastest Taint Tracker","Recent Advances in Intrusion Detection","","","","10.1007/978-3-642-23644-0_1","Erik BosmanAsia SlowinskaHerbert Bos","2011","http://link.springer.com/chapter/10.1007/978-3-642-23644-0_1","Chapter"
"PrivacyScore: Improving Privacy and Security via Crowd-Sourced Benchmarks of Websites","Privacy Technologies and Policy","","","","10.1007/978-3-319-67280-9_10","Max MaassPascal WichmannHenning PridöhlDominik Herrmann","2017","http://link.springer.com/chapter/10.1007/978-3-319-67280-9_10","Chapter"
"Malyzer: Defeating Anti-detection for Application-Level Malware Analysis","Applied Cryptography and Network Security","","","","10.1007/978-3-642-01957-9_13","Lei LiuSongqing Chen","2009","http://link.springer.com/chapter/10.1007/978-3-642-01957-9_13","Chapter"
"Purchase Details Leaked to PayPal","Financial Cryptography and Data Security","","","","10.1007/978-3-662-47854-7_13","Sören PreibuschThomas PeetzGunes AcarBettina Berendt","2015","http://link.springer.com/chapter/10.1007/978-3-662-47854-7_13","Chapter"
"Anonymity Online for Everyone: What Is Missing for Zero-Effort Privacy on the Internet?","Open Problems in Network Security","","","","10.1007/978-3-319-39028-4_7","Dominik HerrmannJens LindemannEphraim ZimmerHannes Federrath","2016","http://link.springer.com/chapter/10.1007/978-3-319-39028-4_7","Chapter"
"AAP: Defending Against Website Fingerprinting Through Burst Obfuscation","Advanced Data Mining and Applications","","","","10.1007/978-3-031-46677-9_8","Zhenyu YangXi XiaoBin ZhangGuangwu HuQing LiQixu Liu","2023","http://link.springer.com/chapter/10.1007/978-3-031-46677-9_8","Chapter"
"Active Credential Leakage for Observing Web-Based Attack Cycle","Research in Attacks, Intrusions, and Defenses","","","","10.1007/978-3-642-41284-4_12","Mitsuaki AkiyamaTakeshi YagiKazufumi AokiTakeo HariuYouki Kadobayashi","2013","http://link.springer.com/chapter/10.1007/978-3-642-41284-4_12","Chapter"
"AuthGuide: Analyzing Security, Privacy and Usability Trade-Offs in Multi-factor Authentication","Trust, Privacy and Security in Digital Business","","","","10.1007/978-3-030-86586-3_11","Davy PreuveneersSander JoosWouter Joosen","2021","http://link.springer.com/chapter/10.1007/978-3-030-86586-3_11","Chapter"
"Untangling Header Bidding Lore","Passive and Active Measurement","","","","10.1007/978-3-030-44081-7_17","Waqar AqeelDebopam BhattacherjeeBalakrishnan ChandrasekaranP. Brighten GodfreyGregory LaughlinBruce MaggsAnkit Singla","2020","http://link.springer.com/chapter/10.1007/978-3-030-44081-7_17","Chapter"
"GALG: Linking Addresses in Tracking Ecosystem Using Graph Autoencoder with Link Generation","Machine Learning and Knowledge Discovery in Databases","","","","10.1007/978-3-031-26422-1_17","Tianyu CuiGang XiongChang LiuJunzheng ShiPeipei FuGaopeng Gou","2023","http://link.springer.com/chapter/10.1007/978-3-031-26422-1_17","Chapter"
"You Never Surf Alone. Ubiquitous Tracking of Users’ Browsing Habits","Data Privacy Management, and Security Assurance","","","","10.1007/978-3-319-29883-2_20","Silvia PuglisiDavid Rebollo-MonederoJordi Forné","2016","http://link.springer.com/chapter/10.1007/978-3-319-29883-2_20","Chapter"
"Capturing Privacy-Preserving User Contexts with IndoorHash","Distributed Applications and Interoperable Systems","","","","10.1007/978-3-030-50323-9_2","Lakhdar MeftahRomain RouvoyIsabelle Chrisment","2020","http://link.springer.com/chapter/10.1007/978-3-030-50323-9_2","Chapter"
"An Experimental Framework for Investigating Security and Privacy of IoT Devices","Intelligent, Secure, and Dependable Systems in Distributed and Cloud Environments","","","","10.1007/978-3-319-69155-8_5","Ali TekeogluAli Şaman Tosun","2017","http://link.springer.com/chapter/10.1007/978-3-319-69155-8_5","Chapter"
"Mobile Malware Detection Based on Energy Fingerprints — A Dead End?","Research in Attacks, Intrusions, and Defenses","","","","10.1007/978-3-642-41284-4_18","Johannes HoffmannStephan NeumannThorsten Holz","2013","http://link.springer.com/chapter/10.1007/978-3-642-41284-4_18","Chapter"
"Tor De-anonymisation Techniques","Network and System Security","","","","10.1007/978-3-319-64701-2_52","Juha NurmiMikko S. Niemelä","2017","http://link.springer.com/chapter/10.1007/978-3-319-64701-2_52","Chapter"
"CloudFence: Data Flow Tracking as a Cloud Service","Research in Attacks, Intrusions, and Defenses","","","","10.1007/978-3-642-41284-4_21","Vasilis PappasVasileios P. KemerlisAngeliki ZavouMichalis PolychronakisAngelos D. Keromytis","2013","http://link.springer.com/chapter/10.1007/978-3-642-41284-4_21","Chapter"
"A User Study to Evaluate a Web-Based Prototype for Smart Home Internet of Things Device Management","HCI for Cybersecurity, Privacy and Trust","","","","10.1007/978-3-031-05563-8_24","Leena AlghamdiAshwaq AlsoubaiMamtaj AkterFaisal AlghamdiPamela Wisniewski","2022","http://link.springer.com/chapter/10.1007/978-3-031-05563-8_24","Chapter"
"Incognitus: Privacy-Preserving User Interests in Online Social Networks","Information and Operational Technology Security Systems","","","","10.1007/978-3-030-12085-6_8","Alexandros KornilakisPanagiotis PapadopoulosEvangelos Markatos","2019","http://link.springer.com/chapter/10.1007/978-3-030-12085-6_8","Chapter"
"Characterizing Privacy Risks in Healthcare IoT Systems","Secure and Resilient Digital Transformation of Healthcare","","","","10.1007/978-3-031-55829-0_4","Shuai LiAlessio BaioccoShouhuai Xu","2024","http://link.springer.com/chapter/10.1007/978-3-031-55829-0_4","Chapter"
"Context Correlation for Automated Dynamic Android App Analysis to Improve Impact Rating of Privacy and Security Flaws","Risks and Security of Internet and Systems","","","","10.1007/978-3-031-31108-6_1","Kris HeidJens Heider","2023","http://link.springer.com/chapter/10.1007/978-3-031-31108-6_1","Chapter"
"A Privacy-Preserving Device Tracking System Using a Low-Power Wide-Area Network","Cryptology and Network Security","","","","10.1007/978-3-030-02641-7_16","Tomer AshurJeroen DelvauxSanghan LeePieter MaeneEduard MarinSvetla NikovaOscar ReparazVladimir RožićDave SingeléeBohan YangBart Preneel","2018","http://link.springer.com/chapter/10.1007/978-3-030-02641-7_16","Chapter"
"Place Lab: Device Positioning Using Radio Beacons in the Wild","Pervasive Computing","","","","10.1007/11428572_8","Anthony LaMarcaYatin ChawatheSunny ConsolvoJeffrey HightowerIan SmithJames ScottTimothy SohnJames HowardJeff HughesFred PotterJason TabertPauline PowledgeGaetano BorrielloBill Schilit","2005","http://link.springer.com/chapter/10.1007/11428572_8","Chapter"
"Paint It Black: Evaluating the Effectiveness of Malware Blacklists","Research in Attacks, Intrusions and Defenses","","","","10.1007/978-3-319-11379-1_1","Marc KührerChristian RossowThorsten Holz","2014","http://link.springer.com/chapter/10.1007/978-3-319-11379-1_1","Chapter"
"Secure Product Tracking in Supply Chain","Information Security and Cryptology","","","","10.1007/978-3-642-38519-3_22","Mehdi KhalfaouiRefik MolvaLaurent Gomez","2013","http://link.springer.com/chapter/10.1007/978-3-642-38519-3_22","Chapter"
"On the Necessity of Auditing for Election Privacy in e-Voting Systems","E-Democracy – Citizen Rights in the World of the New Computing Paradigms","","","","10.1007/978-3-319-27164-4_1","Aggelos KiayiasThomas ZachariasBingsheng Zhang","2015","http://link.springer.com/chapter/10.1007/978-3-319-27164-4_1","Chapter"
"Electronic and Remote Voting Systems: Solutions to Existing Problems – An Experimental Approach to Secure Voting Platforms on Endpoints","Big Data Intelligence and Computing","","","","10.1007/978-981-99-2233-8_13","Sagar Swamy RajanNeeraj Anand Sharma","2023","http://link.springer.com/chapter/10.1007/978-981-99-2233-8_13","Chapter"
"Leaky Birds: Exploiting Mobile Application Traffic for Surveillance","Financial Cryptography and Data Security","","","","10.1007/978-3-662-54970-4_22","Eline VanrykelGunes AcarMichael HerrmannClaudia Diaz","2017","http://link.springer.com/chapter/10.1007/978-3-662-54970-4_22","Chapter"
"AndRadar: Fast Discovery of Android Applications in Alternative Markets","Detection of Intrusions and Malware, and Vulnerability Assessment","","","","10.1007/978-3-319-08509-8_4","Martina LindorferStamatis VolanisAlessandro SistoMatthias NeugschwandtnerElias AthanasopoulosFederico MaggiChristian PlatzerStefano ZaneroSotiris Ioannidis","2014","http://link.springer.com/chapter/10.1007/978-3-319-08509-8_4","Chapter"
"EcoDaLo: Federating Advertisement Targeting with Linked Data","Semantic Systems. In the Era of Knowledge Graphs","","","","10.1007/978-3-030-59833-4_6","Sven LieberBen De MeesterRuben VerborghAnastasia Dimou","2020","http://link.springer.com/chapter/10.1007/978-3-030-59833-4_6","Chapter"
"Digital Breadcrumbs: A Lack of Data Privacy and What People Are Doing About It","Human-Computer Interaction. Theories, Methods, and Human Issues","","","","10.1007/978-3-319-91238-7_46","Carley WardDana EllisLisa A. D’AmbrosioJoseph F. Coughlin","2018","http://link.springer.com/chapter/10.1007/978-3-319-91238-7_46","Chapter"
"Diagnosis and Emergency Patch Generation for Integer Overflow Exploits","Detection of Intrusions and Malware, and Vulnerability Assessment","","","","10.1007/978-3-319-08509-8_14","Tielei WangChengyu SongWenke Lee","2014","http://link.springer.com/chapter/10.1007/978-3-319-08509-8_14","Chapter"
"Accept All: The Landscape of Cookie Banners in Greece and the UK","ICT Systems Security and Privacy Protection","","","","10.1007/978-3-030-78120-0_14","Georgios KampanosSiamak F. Shahandashti","2021","http://link.springer.com/chapter/10.1007/978-3-030-78120-0_14","Chapter"
"Clonewise – Detecting Package-Level Clones Using Machine Learning","Security and Privacy in Communication Networks","","","","10.1007/978-3-319-04283-1_13","Silvio CesareYang XiangJun Zhang","2013","http://link.springer.com/chapter/10.1007/978-3-319-04283-1_13","Chapter"
"IoTPrivComp: A Measurement Study of Privacy Compliance in IoT Apps","Computer Security – ESORICS 2022","","","","10.1007/978-3-031-17146-8_29","Javaria AhmadFengjun LiBo Luo","2022","http://link.springer.com/chapter/10.1007/978-3-031-17146-8_29","Chapter"
"SoK: Securing Email—A Stakeholder-Based Analysis","Financial Cryptography and Data Security","","","","10.1007/978-3-662-64322-8_18","Jeremy ClarkP. C. van OorschotScott RuotiKent SeamonsDaniel Zappala","2021","http://link.springer.com/chapter/10.1007/978-3-662-64322-8_18","Chapter"
"A Machine Learning Approach to Detect Differential Treatment of Anonymous Users","Computer Security – ESORICS 2022","","","","10.1007/978-3-031-17146-8_1","Isabel Wagner","2022","http://link.springer.com/chapter/10.1007/978-3-031-17146-8_1","Chapter"
"SURVANT: An Innovative Semantics-Based Surveillance Video Archives Investigation Assistant","Pattern Recognition. ICPR International Workshops and Challenges","","","","10.1007/978-3-030-68787-8_44","Giuseppe VellaAnastasios DimouDavid Gutierrez-PerezDaniele TotiTommaso NicolettiErnesto La MattinaFrancesco GrassiAndrea CiapettiMichael McElligottNauman ShahidPetros Daras","2021","http://link.springer.com/chapter/10.1007/978-3-030-68787-8_44","Chapter"
"Private Client-Side Profiling with Random Forests and Hidden Markov Models","Privacy Enhancing Technologies","","","","10.1007/978-3-642-31680-7_2","George DanezisMarkulf KohlweissBenjamin LivshitsAlfredo Rial","2012","http://link.springer.com/chapter/10.1007/978-3-642-31680-7_2","Chapter"
"User Requirements of Wearable Technology for Activity Tracking","Cross-Cultural Design","","","","10.1007/978-3-319-40093-8_44","Liuxing TsaoLukas HaferkampLiang Ma","2016","http://link.springer.com/chapter/10.1007/978-3-319-40093-8_44","Chapter"
"Survey on Eye Movement Based Authentication Systems","Computer Vision","","","","10.1007/978-3-662-48558-3_15","Yun ZhangXuanqin Mou","2015","http://link.springer.com/chapter/10.1007/978-3-662-48558-3_15","Chapter"
"Remain Anonymous, Create Characters and Backup Stories: Online Tools Used in Internet Crime Narratives","Interactive Storytelling","","","","10.1007/978-3-319-12337-0_8","Andreas Zingerle","2014","http://link.springer.com/chapter/10.1007/978-3-319-12337-0_8","Chapter"
"Addressing the Challenges of COVID-19 Social Distancing Through Passive Wi-Fi and Ubiquitous Analytics: A Real World Deployment","Human-Computer Interaction – INTERACT 2021","","","","10.1007/978-3-030-85616-8_1","Miguel RibeiroNuno NunesMarta FerreiraJoão NogueiraJohannes SchöningValentina Nisi","2021","http://link.springer.com/chapter/10.1007/978-3-030-85616-8_1","Chapter"
"Cloud-Ready Biometric System for Mobile Security Access","Networked Digital Technologies","","","","10.1007/978-3-642-30567-2_16","F. OmriR. HamilaS. FoufouM. Jarraya","2012","http://link.springer.com/chapter/10.1007/978-3-642-30567-2_16","Chapter"
"SenseX: Design and Deployment of a Pervasive Wellness Monitoring Platform for Workplaces","Service-Oriented Computing","","","","10.1007/978-3-662-48616-0_30","Rakshit WadhwaAmandeep ChughAbhishek KumarMridula SinghKuldeep YadavSharanya EswaranTridib Mukherjee","2015","http://link.springer.com/chapter/10.1007/978-3-662-48616-0_30","Chapter"
"Toward Exploiting Location-Based and Video Information in Negotiated Access Control Policies","Information Systems Security","","","","10.1007/11593980_2","Ernesto DamianiMarco AnisettiValerio Bellandi","2005","http://link.springer.com/chapter/10.1007/11593980_2","Chapter"
"If-This-Then-Allow-That (to Phone Home): A Trigger-Based Network Policy Enforcement Framework for Smart Homes","Foundations and Practice of Security","","","","10.1007/978-3-031-30122-3_23","Anthony TamFurkan AlacaDavid Barrera","2023","http://link.springer.com/chapter/10.1007/978-3-031-30122-3_23","Chapter"
"Allowing for Secure and Accessible Authentication for Individuals with Disabilities of Dexterity","Human-Centered Software Engineering","","","","10.1007/978-3-031-64576-1_7","Abbie PriceFernando Loizides","2024","http://link.springer.com/chapter/10.1007/978-3-031-64576-1_7","Chapter"
"Algorithm Diversity for Resilient Systems","Data and Applications Security and Privacy XXXIII","","","","10.1007/978-3-030-22479-0_19","Scott D. StollerYanhong A. Liu","2019","http://link.springer.com/chapter/10.1007/978-3-030-22479-0_19","Chapter"
"Large-Scale Contact Tracing, Hotspot Detection, and Safe Route Recommendation","Big Data Analytics","","","","10.1007/978-3-030-93620-4_13","Chandresh Kumar MauryaSeemandhar JainVishal Thakre","2021","http://link.springer.com/chapter/10.1007/978-3-030-93620-4_13","Chapter"
"Inconspicuous Personal Computer Protection with Touch-Mouse","Human Aspects of Information Security, Privacy, and Trust","","","","10.1007/978-3-642-39345-7_4","Ming-Chun HuangWenyao XuJason J. LiuYi SuLei HeMajid Sarrafzadeh","2013","http://link.springer.com/chapter/10.1007/978-3-642-39345-7_4","Chapter"
"Conversations Amidst Computing: A Study of Interruptions and Recovery of Task Activity","User Modeling 2007","","","","10.1007/978-3-540-73078-1_43","Shamsi T. IqbalEric Horvitz","2007","http://link.springer.com/chapter/10.1007/978-3-540-73078-1_43","Chapter"
"Is My Phone Listening in? On the Feasibility and Detectability of Mobile Eavesdropping","Data and Applications Security and Privacy XXXIII","","","","10.1007/978-3-030-22479-0_6","Jacob Leon KrögerPhilip Raschke","2019","http://link.springer.com/chapter/10.1007/978-3-030-22479-0_6","Chapter"
"eAuthenticate: Enhancing Security with Machine Learning Based Real-Time Open-World Anti-spoofing Method","Computation of Artificial Intelligence and Machine Learning","","","","10.1007/978-3-031-71484-9_26","Om DelvadiaJitendra ParmarPratik GuptaKuruba Lakshmi Harsha VardhanDhruv GandhiAtul Kumar Verma","2025","http://link.springer.com/chapter/10.1007/978-3-031-71484-9_26","Chapter"
"OTTer: A Scalable High-Resolution Encrypted Traffic Identification Engine","Research in Attacks, Intrusions, and Defenses","","","","10.1007/978-3-030-00470-5_15","Eva PapadogiannakiConstantinos HalevidisPeriklis AkritidisLazaros Koromilas","2018","http://link.springer.com/chapter/10.1007/978-3-030-00470-5_15","Chapter"
"Towards Developing Network Forensic Mechanism for Botnet Activities in the IoT Based on Machine Learning Techniques","Mobile Networks and Management","","","","10.1007/978-3-319-90775-8_3","Nickolaos KoroniotisNour MoustafaElena SitnikovaJill Slay","2018","http://link.springer.com/chapter/10.1007/978-3-319-90775-8_3","Chapter"
